novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),Pilate,427551,427557,character_reference,0.7,Pilate,"too. But didn't your daddy have a sister name of Pilate?"" ""Yes, sir. Pilate."" ""Still living, is she?"" ""Oh",annotator_2,overlap
Tar Baby (1981),Gideon,538825,538831,character_reference,0.7,Gideon,"sied herself picking stones out of the rice while Gideon told Son that the yalla was gone. ""She was here?",annotator_2,overlap
Jazz (1992),job,30921,30924,thematic_reference,0.9,Job,"which I better get to before I lose this no-count job. O Jesus."" She sighed heavily. ""Leave a note, why",annotator_2,overlap
Beloved (1987),Paul,250723,250727,character_reference,0.85,Paul,"sashes shuddered in a blast of winter air. I 3 I Paul D looked up from the stew meat. ""You come upstair",annotator_2,overlap
Song of Solomon (1977),Pilate,243196,243202,character_reference,0.85,Pilate,"to worry. Macon wouldn't bother her no more; she, Pilate, would see to it. (Years later Ruth learned that",annotator_2,overlap
Paradise (1998),Mary,474194,474198,character_reference,0.85,Mary,"ything that helps, helps. But be very care- ful."" Mary Magna lowered her voice. ""I think she practices.""",annotator_2,overlap
Paradise (1998),Aaron,382657,382662,character_reference,0.85,Aaron,"s going to name Deep, but Sally pitched a fit, so Aaron, with a humor more grim than anybody would have t",annotator_2,overlap
Paradise (1998),job,591147,591150,thematic_reference,0.9,Job,"as Coffee and Tea. When Coffee got the statehouse job, Tea seemed as pleased as everybody else. And whe",annotator_2,overlap
Paradise (1998),Zechariah,372487,372496,thematic_reference,0.9,Zechariah,"-all of whom moved from Haven to northern states. Zechariah would have hated that. Moving would have been ""sc",annotator_2,overlap
Beloved (1987),Paul,437250,437254,character_reference,0.85,Paul,"be- tween forefinger and thumb. ""Something else."" Paul D didn't say anything so the two men sat in silen",annotator_2,overlap
Song of Solomon (1977),lot,267909,267912,character_reference,0.7,Lot,ilate did not want a steady job in a town where a lot of colored people lived. All her en- counters wit,annotator_2,overlap
Song of Solomon (1977),Pilate,574890,574896,character_reference,0.7,Pilate,"ou seen my ... Oh, my God. No wonder. No wonder."" Pilate pulled a piece of string from Hagar's bedspread a",annotator_2,overlap
Paradise (1998),Zechariah,178994,179003,thematic_reference,0.9,Zechariah,did not hear them. Nobody saw the walking man but Zechariah and sometimes a child. Rector never saw him again,annotator_2,overlap
Paradise (1998),lot,84723,84726,character_reference,0.7,Lot,"pecans, or is this your idea?"" ""My idea."" ""Make a lot of pies."" ""Make more than pie."" Connie rinsed the",annotator_2,overlap
Beloved (1987),Paul,386835,386839,character_reference,0.85,Paul,"y I got to 124. I would have known right off, but Paul D distracted me. Otherwise I would have seen my f",annotator_2,overlap
A Mercy (2008),communion,103333,103342,thematic_reference,0.8,Communion,"mothers. I am none of those. Reverend Father says communion is the best hope, prayer the next. There is no co",annotator_2,overlap
Song of Solomon (1977),lot,524150,524153,character_reference,0.7,Lot,e jaws of Becky and her com- panions. There was a lot of life in the cat; he fought well until Calvin h,annotator_2,overlap
Song of Solomon (1977),Hagar,166738,166743,character_reference,0.85,Hagar,angry. All this indecision about what to get for Hagar was new. At Christmases past he Coll simply chose,annotator_2,overlap
Paradise (1998),James,612682,612687,thematic_reference,0.9,James,"""Mostly. Frankie's fine. Gets all A's. But Billy James ain't so hot."" ""Oh. Why?"" ""Hangs out with some re",annotator_2,overlap
Beloved (1987),Paul,13159,13163,character_reference,0.85,Paul,"n. Talk to Denver while I cook you something.' """" Paul D tied his shoes together, hung them over his sho",annotator_2,overlap
Beloved (1987),Paul,207069,207073,character_reference,0.85,Paul,n to shout that mercy. They called him Hi Man and Paul D thought at first the guards told him when to gi,annotator_2,overlap
Song of Solomon (1977),Grace,546694,546699,thematic_reference,0.8,Grace,straight for it. - went Milkman opened the parcel Grace had fixed for him and took the way and one. other,annotator_2,overlap
Tar Baby (1981),Paul,465062,465066,character_reference,0.85,Paul,"""Today? You can't leave today."" ""Why not?"" ""Ernie Paul is coming. We called him up. He left from Mont- g",annotator_2,overlap
Paradise (1998),Zechariah,182149,182158,thematic_reference,0.9,Zechariah,"agon with two horses the State Indians lent them, Zechariah corralled some of the men into building a cook ov",annotator_2,overlap
Tar Baby (1981),Paul,472858,472862,character_reference,0.85,Paul,ave called. She imagined him carousing with Ernie Paul and Soldier. Then another weekend rolled by and s,annotator_2,overlap
A Mercy (2008),hope,93546,93550,thematic_reference,0.8,Hope,"I am his tree."" A sea change that Lina could only hope was not final. Florens had been a quiet, timid ve",annotator_2,overlap
Song of Solomon (1977),Ruth,110944,110948,thematic_reference,0.9,Ruth,"ny way I want to, including over your ugly face."" Ruth said, ""Be quiet, you two. It's just growing pains",annotator_2,overlap
Song of Solomon (1977),Solomon,564366,564373,character_reference,0.85,Solomon,"a cake. Twenty-one children, the last one Jake! O Solomon don't leave me here Cotton balls to choke me O So",annotator_2,unique
Song of Solomon (1977),Pilate,236969,236975,character_reference,0.85,Pilate,wept cleansing tears right there and later under Pilate's strap-to which she submitted with re- lief. Pil,annotator_2,overlap
Song of Solomon (1977),Ruth,223540,223544,thematic_reference,0.9,Ruth,"s could even be seen from the road. Nevertheless, Ruth walked in her even-paced way down 123 the street",annotator_2,unique
Beloved (1987),Paul,23545,23549,character_reference,0.85,Paul,"” ""Rebuked. Lonely and rebuked."" ""Is that right?"" Paul D turned to Sethe. ""I don't know about lonely,"" s",annotator_2,unique
Song of Solomon (1977),lot,330308,330311,character_reference,0.7,Lot,"ng easily over the double pipes that bordered the lot and began to circle the bird at a distance, holdi",annotator_2,overlap
Song of Solomon (1977),Esther,424892,424898,thematic_reference,0.9,Esther,"shoulder without taking his eyes off his guest. ""Esther, come here!"" Then to Milk- man: ""I know your peop",annotator_2,overlap
Beloved (1987),Paul,250536,250540,character_reference,0.85,Paul,"know you not sleeping out there tonight, are you, Paul D?"" She smiled at him, and like a friend in need,",annotator_2,overlap
Tar Baby (1981),Gideon,363764,363770,character_reference,0.85,Gideon,""" asked Valerian. ""Gideon. Yardman."" ""His name is Gideon?"" asked Jadine. ""What a beautiful name. Gideon.""",annotator_2,overlap
Beloved (1987),Paul,225016,225020,character_reference,0.85,Paul,"ain. Softly and then so loud it woke Denver, then Paul D himself. ""Red heart. Red heart. Red heart."" TO",annotator_2,overlap
Paradise (1998),Mary,480757,480761,character_reference,0.85,Mary,"e woman she loved, she knew it was anathema, that Mary Magna would have recoiled in disgust and fury kno",annotator_2,overlap
Sula (1973),job,125957,125960,thematic_reference,0.9,Job,"get married. He was twenty then, and although his job as a waiter at the Hotel Medal- lion was a blessi",annotator_2,overlap
Beloved (1987),Solomon,236,243,character_reference,0.85,Solomon,ALSO BY TONI MORRISON The Bluest Eye Sula Song of Solomon Tar Baby BELOVED N I I 8 Gift 6129107 BELOVED A N,annotator_2,unique
Paradise (1998),Mary,516432,516436,character_reference,0.85,Mary,"ver put one over the other. Eve is Mary's mother. Mary is the daugh- ter of Eve."" Then, in words clearer",annotator_2,overlap
Beloved (1987),Jesus,84809,84814,character_reference,0.85,Jesus,"ho?"" Sethe was getting loud again. ""Jesus! I said Jesus! All I did was sit down for supper! and I get cus",annotator_2,overlap
Song of Solomon (1977),Pilate,615333,615339,character_reference,0.7,Pilate,"e!"" he called. ""Pilate! That's not what he meant. Pilate! He didn't mean that. He wasn't talking about the",annotator_2,overlap
Beloved (1987),Paul,309792,309796,character_reference,0.85,Paul,"ldn't love if I wanted to. You know what I mean?"" Paul D did not answer because she didn't expect or wan",annotator_2,unique
Paradise (1998),Grace,555027,555032,thematic_reference,0.8,Grace,"urious dancer, Mavis the most elegant. Seneca and Grace danced together, then parted to skip through fres",annotator_2,overlap
Sula (1973),Solomon,2130,2137,character_reference,0.85,Solomon,2 S ALSO BY TONI MORRISON The Bluest Eye Song of Solomon Tar Baby Sula 1 SULA Toni Morrison ALFRED . A . K,annotator_2,overlap
Song of Solomon (1977),Hagar,168524,168529,character_reference,0.85,Hagar,"t while his breath was no longer that of a puppy, Hagar could still whip it into a pant when he was seven",annotator_2,overlap
Beloved (1987),mark,116866,116870,thematic_reference,0.9,Mark,"ill you know me? Mark me, too,' I said. 'Mark the mark on me too.'"" Sethe chuckled. ""Did she?"" asked Den",annotator_2,overlap
Beloved (1987),John,260018,260022,thematic_reference,0.9,John,"stry dough and thought she ought to tell Ella and John to stop on by because three pies, maybe four, wer",annotator_2,unique
Beloved (1987),Paul,499653,499657,character_reference,0.85,Paul,"n the trees waiting for another chance."" But when Paul D sees the ancient dog, eighteen years if a day,",annotator_2,overlap
A Mercy (2008),salvation,153667,153676,thematic_reference,0.8,Salvation,he return will he and is it already too late? For salvation. I sleep then wake to any sound. Then I am dreami,annotator_2,overlap
Song of Solomon (1977),lot,138306,138309,character_reference,0.7,Lot,ness and ultra-fine manners. She seemed to know a lot and understand very little. It was an interesting,annotator_2,overlap
Beloved (1987),lot,401783,401786,character_reference,0.7,Lot,"for it because it was a greedy ghost and needed a lot of love, which was only natural, considering. And",annotator_2,overlap
Song of Solomon (1977),Ruth,243727,243731,thematic_reference,0.9,Ruth,"emembered the round fire-red stomach, for he left Ruth alone after that.) When the baby was born the day",annotator_2,overlap
Beloved (1987),Paul,504629,504633,character_reference,0.85,Paul,"welcome in it and strong traces of Sethe's mouth. Paul D touched his cap. ""How you getting along?"" ""Don'",annotator_2,unique
Tar Baby (1981),Lot,361937,361940,character_reference,0.7,Lot,"if she would be amused. She seemed not to hear. ""Lot of fat in a goose."" Ondine was slicing her ham. “",annotator_2,overlap
Beloved (1987),Paul,345254,345258,character_reference,0.85,Paul,"holding shadows she had seen on the road were not Paul D, Denver and herself, but ""us three."" The three",annotator_2,overlap
Song of Solomon (1977),Hagar,619511,619516,character_reference,0.85,Hagar,utweigh the things he was proud of hav- ing done. Hagar was dead and he had not loved her one bit. And Gu,annotator_2,overlap
Jazz (1992),lot,337818,337821,character_reference,0.7,Lot,"colored baseball players 'in the flesh and on the lot,' hollering, jumping up and down when he recounts",annotator_2,unique
Beloved (1987),Jesus,148546,148551,character_reference,0.85,Jesus,"tened the back of her dress and said, ""Come here, Jesus,"" when she saw. Sethe guessed it must be bad beca",annotator_2,unique
Paradise (1998),Zechariah,181761,181770,thematic_reference,0.9,Zechariah,"ssed enough tests long enough, he was king. Maybe Zechariah never wanted to eat another stick-roasted rab- bi",annotator_2,overlap
Beloved (1987),Paul,511383,511387,character_reference,0.85,Paul,"their commanders. The captain of the gunboat let Paul D stay aboard all the way to Wheeling, West Virgi",annotator_2,overlap
A Mercy (2008),faith,24402,24407,thematic_reference,0.8,Faith,"born in his wrongheadedness like all of the Roman faith, he waits in port for another month for a phantom",annotator_2,overlap
Paradise (1998),Luke,215876,215880,thematic_reference,0.9,Luke,et on the east become Cross John on the west. St. Luke became Cross Luke. The sanity of this pleased mos,annotator_2,unique
Paradise (1998),Zechariah,370234,370243,thematic_reference,0.9,Zechariah,". Zacharias, father of John the Bap- tist? or the Zechariah who had visions? The one who saw scrolls of curse",annotator_2,unique
Song of Solomon (1977),Ruth,242229,242233,thematic_reference,0.9,Ruth,"ed a little of it into her hand and offered it to Ruth, who obediently took a lump and put it in her mou",annotator_2,overlap
Sula (1973),charity,213240,213247,thematic_reference,0.8,Charity,"gone by; it hid from her the true motives for her charity, and, finally, it gave her voice the timbre she w",annotator_2,overlap
Song of Solomon (1977),Hagar,180351,180356,character_reference,0.85,Hagar,"office, got some cash out of the safe, and wrote Hagar a nice letter which ended: ""Also, I want to thank",annotator_2,overlap
Song of Solomon (1977),Pilate,588898,588904,character_reference,0.7,Pilate,"r, had begun to sob, when the door swung open and Pilate burst in, shouting, ""Mercy!"" as though it were a",annotator_2,unique
The Bluest Eye (1970),Revelation,285805,285815,thematic_reference,0.9,Revelation,"uth, seeing in the new pattern of an old idea the Revelation and the Word. She, however, stepped over into mad",annotator_2,unique
Song of Solomon (1977),Pilate,241632,241638,character_reference,0.7,Pilate,on her house. Ruth had asked some passer-by where Pilate lived and was directed to a lean brown house set,annotator_2,overlap
Song of Solomon (1977),Ruth,240005,240009,thematic_reference,0.9,Ruth,"p her every time, but it don't do no good."" 131 - Ruth was relieved. For a moment she imagined that Pila",annotator_2,unique
Tar Baby (1981),Eve,351046,351049,character_reference,0.7,Eve,lephone. Mar- garet would have caved in Christmas Eve except for the busy-ness of confirming the disast,annotator_2,overlap
Song of Solomon (1977),Hagar,174724,174729,character_reference,0.7,Hagar,e was delighted with the performance and followed Hagar into the house to laugh and talk excitedly about,annotator_2,overlap
Jazz (1992),mark,260550,260554,thematic_reference,0.9,Mark,"t so were the grandfathers. Any fascination could mark a newborn: melons, rabbits, wisteria, rope, and,",annotator_2,overlap
Song of Solomon (1977),Ruth,248112,248116,thematic_reference,0.9,Ruth,holding him from the narrow earth he longed for. Ruth wiped her glasses clean so she could see the stre,annotator_2,unique
The Bluest Eye (1970),Cain,106154,106158,character_reference,0.85,Cain,"d do that you was gonna tell?"" ""Wet the bed. Mrs. Cain told Mama he won't quit.” ""Old nasty."" The sky wa",annotator_2,unique
Song of Solomon (1977),Pilate,316031,316037,character_reference,0.7,Pilate,"ked one of them up and was amazed at its weight. ""Pilate,"" he called. ""Pilate."" But she was growing roots",annotator_2,overlap
Tar Baby (1981),Gideon,282903,282909,character_reference,0.7,Gideon,his voice too. He didn't want her chewed over by Gideon's stone-white teeth. Didn't want her in Gideon's,annotator_2,overlap
Song of Solomon (1977),job,394066,394069,thematic_reference,0.9,Job,"his sister had an ocса- sional lift home from her job. Later, since she never mentioned it, and also be",annotator_2,overlap
Beloved (1987),grace,167934,167939,thematic_reference,0.8,Grace,"Suggs, holy, believed she had lied. There was no grace-imaginary or real-and no sunlit dance in a Cleari",annotator_2,unique
Song of Solomon (1977),Pilate,335981,335987,character_reference,0.7,Pilate,""" ""What burglary? This ain't no burglary. This is Pilate."" ""So?"" ""So! They're your people."" ""They're still",annotator_2,overlap
Song of Solomon (1977),Pilate,380280,380286,character_reference,0.7,Pilate,"rubbed his knees. The idea of having to depend on Pilate to get his son out of jail humiliated him. ""Ragge",annotator_2,overlap
Song of Solomon (1977),Pilate,322949,322955,character_reference,0.85,Pilate,"r there and snatch it off the wall, right? And if Pilate or Reba say anything, we just knock them out the",annotator_2,overlap
Beloved (1987),Paul,22069,22073,character_reference,0.85,Paul,"by ghost. ""She's a fine-looking young lady,"" said Paul D. ""Fine-looking. Got her daddy's sweet face."" ""Y",annotator_2,unique
Paradise (1998),Mary,485003,485007,character_reference,0.85,Mary,nerable as she had been at nine when she clung to Mary Magna's hand at the railing of the Atenas. Whatev,annotator_2,overlap
Paradise (1998),John,215817,215821,thematic_reference,0.9,John,from them— they acquired secondary names. So St. John Street on the east become Cross John on the west.,annotator_2,unique
Song of Solomon (1977),Hagar,231306,231311,character_reference,0.85,Hagar,"s right there, looking at him through the window. Hagar. Killing, ice-pick-wielding Hagar, who, shortly a",annotator_2,overlap
Song of Solomon (1977),Ruth,22390,22394,thematic_reference,0.9,Ruth,"dow past the evergreen, the terror that sprang to Ruth's eyes came from the quick realization that she w",annotator_2,overlap
A Mercy (2008),Jacob,148069,148074,character_reference,0.85,Jacob,d like the snow showers that signaled it. Just as Jacob's determination to rise up in the world had cease,annotator_2,overlap
Jazz (1992),job,308305,308308,thematic_reference,0.9,Job,"ter funerals—she had to say no to, because of her job in Tuxedo. So more than anything she wanted gossi",annotator_2,overlap
The Bluest Eye (1970),job,182567,182570,thematic_reference,0.9,Job,"ng else. Two years later he quit school to take a job at Tyson's Feed and Grain Store. He swept up, ran",annotator_2,overlap
Sula (1973),Jude,131431,131435,thematic_reference,0.9,Jude,e was a challenge to the other. Nel's response to Jude's shame and anger selected her away from Sula. An,annotator_2,overlap
A Mercy (2008),Jacob,21308,21313,character_reference,0.85,Jacob,"aza, announcing a prideful entrance to a veranda. Jacob stopped. A boy appeared and, dismount- ing a bit",annotator_2,overlap
Song of Solomon (1977),Pilate,55394,55400,character_reference,0.85,Pilate,"ls, Hagar threaded and un- threaded her hair, and Pilate swayed like a willow over her stirring. Chapter 2",annotator_2,overlap
A Mercy (2008),hope,71142,71146,thematic_reference,0.8,Hope,"e, but shortened it to Lina to signal a sliver of hope. Afraid of once more losing shelter, terrified of",annotator_2,overlap
Tar Baby (1981),Mary,65694,65698,character_reference,0.85,Mary,"when, at her insistence, Yardman brought another Mary, she too took the pail of shrimp outside to shell",annotator_2,unique
Beloved (1987),Paul,474400,474404,character_reference,0.85,Paul,"of, what Ella knew, what Stamp saw and what made Paul D tremble. That anybody white could take your who",annotator_2,overlap
Sula (1973),John,146000,146004,thematic_reference,0.9,John,"ck?"" ""Mmm. Like a ox."" ""That was one dumb nigger, John L."" ""Maybe. Maybe he was just sanitary."" ""Sanitar",annotator_2,overlap
A Mercy (2008),Jacob,130030,130035,character_reference,0.85,Jacob,Mr. Vaark (it took some time before she could say Jacob) picked up both of her boxes after touching her f,annotator_2,overlap
Song of Solomon (1977),Mary,60425,60429,character_reference,0.85,Mary,"oked around at Corinthians, who ignored her. ""And Mary, I suppose."" Lena laughed. Corinthians stared col",annotator_2,overlap
The Bluest Eye (1970),job,171762,171765,thematic_reference,0.9,Job,ross. It was her good fortune to find a permanent job in the home of a well-to-do family whose members,annotator_2,unique
Beloved (1987),Paul,205062,205066,character_reference,0.85,Paul,"more than a day; promptly with the butt if, like Paul D, they had just arrived. When all forty-six were",annotator_2,overlap
Song of Solomon (1977),Pilate,146114,146120,character_reference,0.7,Pilate,e he had come to expect from his mother. Not that Pilate or Reba felt the possessive love for him that his,annotator_2,overlap
Paradise (1998),hope,100248,100252,thematic_reference,0.8,Hope,"ousins had been buried two years ago, K.D., their hope and their despair, was the last male in a line th",annotator_2,overlap
Beloved (1987),Paul,89069,89073,character_reference,0.85,Paul,"Bodwin, the whitewoman who loved her. Denver and Paul D fared better in the heat since neither felt the",annotator_2,overlap
Song of Solomon (1977),Pilate,480918,480924,character_reference,0.7,Pilate,"ere? Probably not, since Circe didn't mention it. Pilate said she took the white man's bones and didn't ev",annotator_2,overlap
Tar Baby (1981),numbers,332773,332780,thematic_reference,0.9,Numbers,en he sways and shiver with him too. Whisper your numbers from one to fifty into the parts that have been l,annotator_2,unique
Beloved (1987),job,502044,502047,thematic_reference,0.9,Job,"an kill her boss. She and Denver be looking for a job."" 265 ""Who Janey tell him the naked woman was?"" """,annotator_2,unique
Song of Solomon (1977),Pilate,386251,386257,character_reference,0.7,Pilate,"f a dead man. Later, as Macon drove them all home-Pilate sitting in front, Guitar and himself in the back-",annotator_2,overlap
Jazz (1992),Joseph,167564,167570,character_reference,0.85,Joseph,"g twisted into water much too small. His name was Joseph, and even before the sun rose, when 105 it was st",annotator_2,overlap
Beloved (1987),Paul,439460,439464,character_reference,0.85,Paul,"but I know Plank Road. 'Bout a mile up thataway."" Paul D lifted his bottle and swallowed. The rider look",annotator_2,overlap
Beloved (1987),Paul,326946,326950,character_reference,0.85,Paul,"rusting, so quick to surrender at the stove while Paul D kissed her back. She should have known that he",annotator_2,overlap
Beloved (1987),Paul,16605,16609,character_reference,0.85,Paul,"urant in town. And I sew a little on the sly.' """" Paul D smiled then, remembering the bedding dress. Set",annotator_2,unique
Song of Solomon (1977),Pilate,270957,270963,character_reference,0.7,Pilate,"rt she felt in their midst she kept all her life. Pilate had learned, whenever she was asked her name, to",annotator_2,overlap
Song of Solomon (1977),Pilate,587531,587537,character_reference,0.7,Pilate,"ush.""  The neighbors took up a collection because Pilate and Reba had spent everything getting Hagar the t",annotator_2,unique
Jazz (1992),job,88264,88267,thematic_reference,0.9,Job,"ince before the War. Nor did he need a whiteman's job-he owned a pool hall. As a matter of fact, he was",annotator_2,overlap
Sula (1973),Jude,253022,253026,thematic_reference,0.9,Jude,"l that had been about. It didn't take long, after Jude left, for her to see what the future would be. Sh",annotator_2,overlap
Beloved (1987),Paul,437602,437606,character_reference,0.85,Paul,"r you to ask your pardon. Apologize."" ""For what?"" Paul D reached in his coat pocket for his bottle. ""You",annotator_2,overlap
Song of Solomon (1977),Pilate,42640,42646,character_reference,0.85,Pilate,"gold teeth but said nothing, so Macon knew it was Pilate. He locked all his drawers save one-the one he un",annotator_2,overlap
Tar Baby (1981),Gideon,363733,363739,character_reference,0.7,Gideon,"d been silent until then. ""Who?"" asked Valerian. ""Gideon. Yardman."" ""His name is Gideon?"" asked Jadine. ""W",annotator_2,overlap
Song of Solomon (1977),Pilate,336286,336292,character_reference,0.7,Pilate,"! Who? Hagar? Right up in your face she blows it. Pilate? She loves you, boy. She wouldn't touch you."" ""Yo",annotator_2,overlap
Paradise (1998),faith,594635,594640,thematic_reference,0.8,Faith,"fe's belief is a mystery.” ""Belief is mysterious; faith is mysterious. But God is not a mystery. We are.""",annotator_2,overlap
Tar Baby (1981),hope,109579,109583,thematic_reference,0.8,Hope,"t, plain and fluffy,"" said Margaret. ""Well, let's hope that's what we get. Omelet's more likely in this",annotator_2,overlap
Beloved (1987),Paul,356480,356484,character_reference,0.85,Paul,"."" ""What's any of what you talking got to do with Paul D?"" ""What run him off? Tell me that."" ""I run him",annotator_2,overlap
Paradise (1998),job,385213,385216,thematic_reference,0.9,Job,wake. So you were his first job. And a wonderful job he did too. You were beautiful. With the baby in,annotator_2,overlap
Song of Solomon (1977),Hagar,238162,238167,character_reference,0.7,Hagar,"r dead. One or the other. Me or her. Choose. Die, Hagar. Die. Die. Die. But she didn't. She crawled into",annotator_2,overlap
Song of Solomon (1977),Pilate,574382,574388,character_reference,0.7,Pilate,"in. ""I look like a ground hog. Where's the comb?"" Pilate called Reba and together they flew through the ho",annotator_2,overlap
Tar Baby (1981),Gideon,547728,547734,character_reference,0.85,Gideon,"d. ""Get me there, Thérèse."" ""Two big fools,"" said Gideon. ""One blind, the other gone mad!"" ""Eat,"" said Thé",annotator_2,overlap
